gvt,Total GVT Computations,Total All Reduce Calls,Average Reduction / GVT,total events processes,events rolled back,efficiency,total remote network events processed,percent remote events,total rollbacks,primary rollbacks,secondary roll backs,fossil collect attempts,net events processed,remote sends,remote recvs
64,127,381,3.00,130048,17422,84.531103,16780,14.898869,3934,2416,1518,127,112626,22648,21866
64,142,424,2.99,145408,31589,72.246286,16944,14.886794,5246,2730,2516,142,113819,27050,26661
64,125,374,2.99,128000,15128,86.597207,16768,14.855766,3822,2387,1435,125,112872,21674,21319
64,126,377,2.99,129024,16061,85.782070,16722,14.803077,3759,2410,1349,126,112963,21744,21614
64,129,387,3.00,132096,18829,83.376447,17052,15.054694,4381,2594,1787,129,113267,23342,22730
64,130,390,3.00,133120,20875,81.402290,16800,14.967259,4548,2601,1947,130,112245,23398,22758
64,131,393,3.00,134144,20569,81.889500,16978,14.948712,4383,2638,1745,131,113575,23704,23055
64,129,384,2.98,131157,18449,83.631153,16895,14.990063,4038,2503,1535,129,112708,22805,22334
64,1,6,6.00,2032,63,96.800406,291,14.779076,26,23,3,1,1969,337,315
64,112,335,2.99,114688,8876,91.611537,17756,16.780705,2713,1695,1018,112,105812,21028,22175
64,124,368,2.97,126976,8813,92.541659,19272,16.309674,2594,1679,915,124,118163,22568,23425
64,127,381,3.00,130048,12921,88.968385,18617,15.894713,3180,1764,1416,127,117127,22917,23983
64,142,424,2.99,145408,26978,77.220299,18810,15.882800,5283,2294,2989,142,118430,27318,28873
64,125,374,2.99,128000,10953,90.642221,18720,15.993575,3014,1915,1099,125,117047,22434,23307
64,126,377,2.99,129024,11462,90.250251,18585,15.808680,2952,1714,1238,126,117562,22149,23534
64,129,387,3.00,132096,14350,87.812749,18751,15.924957,3464,1959,1505,129,117746,23423,24260
64,130,390,3.00,133120,16399,85.950257,18659,15.985984,3954,2157,1797,130,116721,24045,24796
64,131,393,3.00,134144,16519,85.956217,18866,16.039107,3916,2091,1825,131,117625,24104,25061
64,129,384,2.98,131182,14406,87.663561,18513,15.853429,3429,1912,1517,129,116776,22933,23822
64,1,6,6.00,2032,69,96.484972,289,14.722364,28,23,5,1,1963,325,319
64,112,335,2.99,114688,13621,86.522802,16606,16.430685,3928,2603,1325,112,101067,22052,20682
64,124,368,2.97,126976,13479,88.123915,18337,16.156374,3839,2531,1308,124,113497,23233,22863
64,127,381,3.00,130048,17965,83.971700,17658,15.754396,4461,2720,1741,127,112083,23790,23034
64,142,424,2.99,145408,32238,71.513652,17808,15.735619,6483,3276,3207,142,113170,28732,27071
64,125,374,2.99,128000,15643,86.077414,17682,15.737337,3961,2555,1406,125,112357,23390,22077
64,126,377,2.99,129024,16713,85.119000,17683,15.744673,4156,2665,1491,126,112311,23479,22027
64,129,387,3.00,132096,19123,83.072947,17854,15.803776,4595,2700,1895,129,112973,24408,23541
64,130,390,3.00,133120,21057,81.209677,17660,15.758993,4986,2911,2075,130,112063,25108,23710
64,131,393,3.00,134144,20440,82.023500,17924,15.763737,4881,2901,1980,131,113704,25220,24112
64,129,384,2.98,131167,18920,83.144316,17561,15.644962,4475,2698,1777,129,112247,23749,22880
64,1,6,6.00,2032,31,98.450775,303,15.142429,17,11,6,1,2001,319,333
64,112,335,2.99,114688,8990,91.494636,18062,17.088308,2683,1677,1006,112,105698,21528,22510
64,124,368,2.97,126976,9316,92.082271,19602,16.659867,2635,1726,909,124,117660,23274,23570
64,127,381,3.00,130048,13209,88.694700,19025,16.283090,3208,1874,1334,127,116839,23775,24247
64,142,424,2.99,145408,27310,76.875138,19282,16.327118,5127,2379,2748,142,118098,28792,29287
64,125,374,2.99,128000,10845,90.743033,19078,16.284410,2749,1647,1102,125,117155,22834,23629
64,126,377,2.99,129024,12416,89.352360,18918,16.223587,3129,1850,1279,126,116608,23080,23277
64,129,387,3.00,132096,14836,87.347774,19164,16.343169,3509,2059,1450,129,117260,24094,24736
64,130,390,3.00,133120,15658,86.669731,18992,16.168633,3680,2012,1668,130,117462,23924,25211
64,131,393,3.00,134144,16470,86.003705,19099,16.230433,3866,2160,1706,131,117674,24523,25323
64,129,384,2.98,131165,13995,88.055816,19012,16.225996,3197,1871,1326,129,117170,23782,24233
128,1,6,6.00,4080,349,90.645939,558,14.955776,106,65,41,1,3731,694,725
128,57,171,3.00,116736,15598,84.577508,15807,15.629140,4045,2308,1737,57,101138,21501,20719
128,62,186,3.00,126976,14116,87.492469,17333,15.357966,3685,2210,1475,62,112860,22029,21656
128,64,192,3.00,131072,19232,82.804006,16673,14.907904,4245,2390,1855,64,111840,22791,22433
128,63,189,3.00,129024,15756,86.089628,16844,14.870926,3835,2244,1591,63,113268,22230,21716
128,63,189,3.00,129024,14738,87.104282,17003,14.877588,3783,2247,1536,63,114286,21659,21362
128,62,186,3.00,126976,13929,87.678576,16758,14.823923,3636,2227,1409,62,113047,20936,21135
